evidence_span_id,gold_resource_area,gold_is_determination,gold_determination_class,gold_determination_scope,gold_primary_threshold_type,gold_primary_threshold_status,gold_mitigation_link,gold_evidence_span_ok,gold_needs_human_review,gold_notes,labeler,labeler_confidence
dac3eb3501e52ced590ca55c52ff93125257061842f19ee7b5eddea623bd647e,soils_geology,TRUE,less_than_significant_with_mitigation,resource_specific,none,,TRUE,TRUE,FALSE,Geology/Soils: no significant adverse impacts following Mitigation Measure GEO-1; remainder of window is Tribal Trust affected-environment.,claude,high
d613a44eec63ed06f2897869a25bc7fe1198ae65129fb57799c6ec5b1717d6ec,land_use,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,OHV/public-access routes: less than significant cumulative impact (DRECP alternate replacement routes).,claude,medium
d613a44eec63ed06f2897869a25bc7fe1198ae65129fb57799c6ec5b1717d6ec,transportation,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Aviation safety cumulative impact less than significant (FAA independent review).,claude,medium
d613a44eec63ed06f2897869a25bc7fe1198ae65129fb57799c6ec5b1717d6ec,visual,TRUE,less_than_significant_with_mitigation,resource_specific,none,,TRUE,TRUE,FALSE,Cumulative glare reduced to less than cumulatively significant via glare-complaint-resolution mitigation.,claude,medium
428363b9c1a5a263e86d0f06334852cd9aec092d3f1234dd78cb27736e6a7be6,land_use,TRUE,less_than_significant_with_mitigation,resource_specific,none,,TRUE,TRUE,FALSE,"CEQA cumulative LA-2/LA-3: with mitigation and plan/ROW approvals, land-use/realty and HCP-conflict impacts less than significant.",claude,medium
7853d48694a563197dcc25cdc4499714d4e399188a7f13498ccfb0a9a79ccbbb,land_use,TRUE,less_than_significant_with_mitigation,resource_specific,none,,TRUE,TRUE,FALSE,Duplicate of window 2; same cumulative land-use conclusions less than significant with mitigation.,claude,medium
ff5a08c4797f92867ab34a1099365f072c4af73d7224c72993ead129d23b3ff9,soils_geology,TRUE,no_significant_impact,alternative_specific,none,,FALSE,TRUE,FALSE,No-Action Alternative: no significant adverse impacts to geology/soils/seismology.,claude,high
78f51a371e4d537fb9f4724969cbf87b4c4e6ad6e8a9f87b7e8440cdb2eac6e4,air_quality,TRUE,less_than_significant,resource_specific,NAAQS,does_not_exceed,FALSE,TRUE,FALSE,Criteria pollutants/CO/HAPs less than significant.,claude,high
78f51a371e4d537fb9f4724969cbf87b4c4e6ad6e8a9f87b7e8440cdb2eac6e4,climate_ghg,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,GHG grouped with air quality as less than significant.,claude,medium
78f51a371e4d537fb9f4724969cbf87b4c4e6ad6e8a9f87b7e8440cdb2eac6e4,socioeconomic,TRUE,significant_adverse,alternative_specific,none,,FALSE,TRUE,FALSE,Significant EJ impact from Alt-4 transportation (air-quality EJ was no impact); operative conclusion = significant.,claude,medium
78f51a371e4d537fb9f4724969cbf87b4c4e6ad6e8a9f87b7e8440cdb2eac6e4,transportation,TRUE,significant_adverse,alternative_specific,none,,FALSE,TRUE,FALSE,Alternative 4: significant traffic impacts at numerous intersections near OTC.,claude,high
fbc5425fe16995bbe212bb8210739bdadfa9e009eb0a52242080d04e11f5e827,water,TRUE,less_than_significant_with_mitigation,resource_specific,wetland_floodplain,mitigated_below,TRUE,TRUE,FALSE,Groundwater quality/supply not significant; floodplain impacts not significant only with proper siting and mitigation.,claude,medium
ee3a12c6f08825c38984764d49d9dac05d528b4058b821f7cc1f97f2d6d6ec7c,public_health,TRUE,less_than_significant_with_mitigation,alternative_specific,none,,TRUE,TRUE,FALSE,Transmission Alt D/Subalt E: hazardous-materials/health-safety less than significant with MM HAZ measures.,claude,medium
bfff608ff19c37ad69d16413f6d3debe2a4648578bdd3a458b47e413ac4a8f39,land_use,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Agriculture less than significant without mitigation.,claude,medium
bfff608ff19c37ad69d16413f6d3debe2a4648578bdd3a458b47e413ac4a8f39,public_health,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Hazardous materials / health and safety less than significant.,claude,medium
bfff608ff19c37ad69d16413f6d3debe2a4648578bdd3a458b47e413ac4a8f39,socioeconomic,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Summary table: socioeconomics and EJ less than significant without mitigation.,claude,medium
bfff608ff19c37ad69d16413f6d3debe2a4648578bdd3a458b47e413ac4a8f39,soils_geology,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Geology and Soils less than significant (SWE proposed BMPs).,claude,medium
39ce276038a5185b3231a10511c90d03b222e00a11c73abea405cc116f084684,socioeconomic,TRUE,less_than_significant,resource_specific,none,,FALSE,TRUE,FALSE,Representative smart-grid project: socioeconomic impacts very minor.,claude,medium
4afcec5cde58206ba14e8c0fde866c6acd2821ec23976ed5f0b8a62e72b63b9e,air_quality,TRUE,significant_unavoidable,alternative_specific,NAAQS,exceeds,TRUE,TRUE,FALSE,Alternative 1 air quality significant and unavoidable even after mitigation; conformity de minimis could be exceeded.,claude,high
3ade9987e5a67c688578775fc6fbc5503d81b2cd6c4d25dd02af41ae1fa824f0,air_quality,TRUE,less_than_significant,resource_specific,other_quantitative,does_not_exceed,FALSE,TRUE,FALSE,Emissions below General Conformity de minimis; changes in air quality not significant.,claude,medium
