project_id,title,assigned_class,secondary,confidence,evidence_snippet
1db1f3dafa058761c76e3f3827fe551b,Residential Conservation Service Program,federal_program,['federal_funding'],medium,"ities .  Many S tates , however ,   may be unwi l l ing or unable to find adequate revenues  for the ir listing and enforcement programs .  Inadequate  funding wi l l  aggravate the sa fe ty and e ffec tiveness  problems aris ing from the improper ins tallation o f   measures .  Federal funding woul"
e41186e241b4f11adb9a99e18408350d,THE NATIONAL COMPACT STELLARATOR EXPERIMENT AT THE PRINCETON PLASMA PHYSICS LABORATORY,federal_direct_action,['federal_funding'],medium,"THE NATIONAL COMPACT STELLARATOR EXPERIMENT AT THE PRINCETON PLASMA PHYSICS LABORATORY If the United States is to meet the energy needs of the future, it is essential that new technologies emerge to compensate for dwindling supplies of fossil fuels, the eventual depletion of fissionable uranium used"
a4224fc9d5d30aa0d411951740a33f0d,Base Realignment and Closure Actions at US Army Garrison Aberdeen Proving Ground,federal_direct_action,['federal_land'],high,legal requirements.  Section 2 of the E.O. directs Federal agencies to implement sustainable practices for:    • Energy efficiency and reductions in greenhouse gas emissions.  • Use of renewable energy.  • Reduction in water consumption intensity.  • Acquisition of green products and services.  • Po
c588c7d4-c6bf-d2a5-89a9-623f2b079a1d,C-Area Characterization,federal_direct_action,['federal_land'],medium,"C-Area Characterization [""Project Description: This is a revision (Rev. No. 1) to EEC document no. ARRA-C-2010-043 previously approved under the recently retired permitting database. Environmental impacts, waste generation, methodology, and other categories evaluated in Rev. No. 0 of the EEC remain "
d1f1f8143b7b322cbc9a883fb443c278,Public Service Company of New Mexico International Electric Transmission Lines,federal_permit,[],high,"proposed  Federal action in this EIS was to grant  PNM a Presidential permit for the  construction, operation, maintenance,  and connection of two 345,000-volt  electric transmission lines originating at  the switchyard of the Palo Verde  Nuclear Generating Station (PVNGS)  near Phoenix, Arizona, an"
70712ea5-dacd-53fe-e20c-382cc65250f2,Herbicide Application to DOE 115-kV and 230-kV Electricity Transmission Line Rights-of-way on the Savannah River Site,federal_land,['federal_permit'],high,"Herbicide Application to DOE 115-kV and 230-kV Electricity Transmission Line Rights-of-way on the Savannah River Site [""Proposed Action or Project Description: Rev. 3: A Dominion Energy subcontractor, Marshfield Forest Service, will be conducting herbicide applications to the 115-kV and 230-kV elect"
380872472e7cebdd023a25a1a8be3981,O’Brien Road Access Modernization,unknown,[],low,"ected Environment  3.7.1.1  Definition of the Resource  Water resources are natural and human-made sources of water available for use by and for the  benefit of humans and the environment, including surface water or groundwater occurring in  natural or human-made impoundments or conveyance systems. "
8fbfdf1a-bfaf-4b91-c137-f9d3459be73a,U.S. FUELS ACROSS AMERICA'S HIGHWAYS - MICHIGAN TO MONTANT (M2M),federal_funding,[],high,"U.S. FUELS ACROSS AMERICA'S HIGHWAYS - MICHIGAN TO MONTANT (M2M) [""Rationale for determination: This project number and recipient have previously received a CX on previous work. This new CX has been signed due to the recipient adding additional project locations. The control number reflects the prim"
9e171b08ba50d2fd2394efde31aaa510,The National Spherical Tokamak Experiment at the Princeton Plasma Physics Laboratory,federal_direct_action,['federal_funding'],medium,"The National Spherical Tokamak Experiment at the Princeton Plasma Physics Laboratory FOR THE PROPOSED ACTION If the United States is to meet the energy needs of the future, it is essential that new technologies emerge to compensate for dwindling supplies of fossil fuels and the eventual depletion of"
3dad6d4b6e3e35153553d5810c8d6873,Electron-Ion Collider,federal_direct_action,[],low,Electron-Ion Collider ................................................................................................... 8 4.0
99a13b59e21a78945467cb855bc2d256,"Hydropower Licenses for the Yadkin Hydroelectric Project; and the Yadkin-Pee Dee River Hydroelectric Project in Anson, Davidson, Davie, Montgomery, Richmond, Rowan, and Stanly Counties, North Carolina",federal_permit,[],high,"Draft Environmental Impact Statement for Hydropower Licenses for the Yadkin Hydroelectric Project (Federal Energy Regulatory Commission Project No. P-2197-073); and the Yadkin-Pee Dee River Hydroelectric Project (Federal Energy Regulatory Commission Project No. P-2206-030) in Anson, Davidson, Davie,"
552dc869-d30e-3b58-db11-60a9d0a2fddf,Big Hill Potable Water Service,federal_direct_action,[],medium,"Big Hill Potable Water Service [""Description: The Trinity Bay Conservation District (TBCD), Anahuac, Texas, shall supply the monthly\npotable water service to the Big Hill Strategic Petroleum Reserve (SPR) site for a period of ten (10) years.\n\nThe TBCD public water system supplying water to the Bi"
26d0f417-8b47-37de-3273-a22e3d840a28,Biomass Feed Preparation Laboratory,unknown,[],low,"Biomass Feed Preparation Laboratory [""Brief Description of Activities: Metal oxides are reactied with methane, natural gas, and solid fuels at high temperatures.""]"
1c2b8cc1484c40f793104e081f0321b2,Construction and Operation of a Second Fiber Optic Line to Los Alamos National Laboratory,federal_direct_action,['federal_land'],high,"onal Forest  Service. October 30, 1999.  DOE 2004  Department of Energy, Recommendations for the Preparation of  Environmental Assessments and Environmental Impact Statements,  Second Edison, Office of NEPA Policy and Compliance, December  2004.  DOE 2008   Department of Energy, Site-Wide Environmen"
a75aa646e22d44562226d23a2f012fa7,Energia Sierra Juarez United States Transmission Line Project,federal_permit,[],high,"proposed Federal action in the final EIS is the granting of a Presidential permit to Energia Sierra  Juarez U.S. Transmission, LLC (ESJ), for the construction, operation, maintenance, and connection of either  a 230-kilovolt (kV) or a 500-kV electric transmission line that would cross the U.S.-Mexic"
e81198773b48ce94f1e49c56c2472e31,"Hydropower Rehabilitations, Dissolved Oxygen, and Minimum Flow at Wolf Creek Dam, Kentucky, and Center Hill and Dale Hollow Dams, Tennessee",federal_direct_action,['federal_land'],high,"Hydropower Rehabilitations, Dissolved Oxygen, and Minimum Flow at Wolf Creek Dam, Kentucky, and Center Hill and Dale Hollow Dams, Tennessee for the overall project. However, the adaptive management protocol, as currently described in the Draft EIS, focuses primarily on changes to the timing and quan"
5513cfc15b82a4d37a4ddea34528a920,Kansas State University’s Zond Wind Energy Project,federal_funding,[],high,"proposed federal action before committing to that action. The proposal to provide federal financial  assistance is considered a federal action subject to the procedural requirements of NEPA and the NEPA  implementing regulations of CEQ and DOE. To comply with these requirements, DOE has determined  "
d25f82d21e1326bcbd89a85d95d80e6a,Greenidge Multi-Pollutant Control Project,unknown,[],low,"cation No. 99-4493, Research  Triangle Park, N.C.     NPS (National Park Service). 2004. National Register Information System: Index by State  and County. Accessed at http://www.nr.nps.gov.    NRC (Nuclear Regulatory Commission). 1996. Generic Environmental Impact Statement  for License Renewal of N"
6709b0e1fd4abf99f8c96acc2ea45112,Western Rail Yard Overbuild,federal_direct_action,['federal_permit'],medium,"pacts on the City’s water supply system. More details concerning the  analysis of this resource category are provided in Appendix N, Section N.3.1.8.   20.3.1.9.2  Wastewater  The Preferred Alternative would not result in an indirect adverse impact to the City’s sanitary  sewage conveyance and treat"
c7ae21cea4a60637bb52f732ce98d7fc,Radiological Response Training Range,federal_direct_action,[],low,Radiological Response Training Range ..................................................................................................................... 1 2.0
