Resource,example
Visual,Development activities would introduce intrusions that could unavoidably affect the visual landscape.
Biological,Significant but mitigable impacts to parade-ground vegetation from irrigation with reclaimed water.
Land use,Impact AG-1 permanent conversion of Important Farmland is mitigated via agricultural easement or land mitigation program.
Transportation,"With the mitigation measures identified above, significant unavoidable transportation impacts are not expected."
Water,PA/FEIS Section 4.19 concludes mitigation measures would minimize but not eliminate residual groundwater level reductions from GSEP implementation.
Air quality,Combined regional projects together with Alternative 4's WTE plant would be a significant but mitigable cumulative impact to air quality.
Noise,"Vibration impacts to humans would be significant near Copco 1 Dam during blasting, and Mitigation Measure NV-1 would not reduce these impacts below significance, remaining significant and unavoidable."
Soils / geology,"Draining Copco No. 1 Reservoir could cause short-term significant bank instability at some private properties, but these effects would be mitigated."
Public health,"With mitigation identified in Section 2.12.3.2, significant unavoidable adverse impacts to public services and utilities would not be expected from the Proposed Action or alternatives."
Socioeconomic,"Impacts to U&A fishing rights would be significant under Alternative 2, though the Coast Guard will ensure impacts are avoided and/or mitigated through consultation and MOAs."
Climate / GHG,"Following implementation of the mitigation measures specified for a given alternative, GHG emissions would remain significant and unavoidable for all four action alternatives for power replacement."
project_wide,"The overall analysis found the Project would cause significant impacts, most of which can be reduced below significant with mitigation, though some impacts remain significant and unavoidable."
