"energy_group","Measure","Framing","Sample text"
"Decarbonization","Significance","High","actions that may create significant landscape alternations that would be obvious to the"
"Decarbonization","Significance","Low","where minor or tolerable delays are experienced by motorists."
"Decarbonization","Adversity","Negative","address disproportionately high and adverse human health or environmental effects of"
"Decarbonization","Adversity","Positive","reduce light glare and scatter helping to improve night sky viewing opportunities."
"Decarbonization","Mitigation","Strong","VR-1 states that structures shall be placed at the maximum feasible distance from roadway and trail"
"Decarbonization","Mitigation","Weak","would remain visible from on-site and off-site locations."
"Fossil Fuel","Significance","High","the adjacent area with regard to location, scale, shape, color and orientation of major landscape"
"Fossil Fuel","Significance","Low","The Proposed Action would create minor changes to the landscape that would be mitigated"
"Fossil Fuel","Adversity","Negative","The proposed project would not have any major permanent adverse impacts to the viewshed in the"
"Fossil Fuel","Adversity","Positive","deemed necessary by the BLM to maintain or improve habitat values."
"Fossil Fuel","Mitigation","Strong","E&B shall comply with all applicable federal, tribal, state, and local laws during project"
"Fossil Fuel","Mitigation","Weak","Riparian and wetland habitats associated with the lateral would likely remain in place and"
