evidence_span_id,gold_resource_area,gold_is_determination,gold_determination_class,gold_determination_scope,gold_primary_threshold_type,gold_primary_threshold_status,gold_mitigation_link,gold_evidence_span_ok,gold_needs_human_review,gold_notes,labeler,labeler_confidence
dac3eb3501e52ced590ca55c52ff93125257061842f19ee7b5eddea623bd647e,water,TRUE,less_than_significant_with_mitigation,resource_specific,none,,TRUE,TRUE,FALSE,Conclusion appears dependent on committed mitigation or mitigation measures.,codex,high
dac3eb3501e52ced590ca55c52ff93125257061842f19ee7b5eddea623bd647e,biological,TRUE,less_than_significant_with_mitigation,resource_specific,none,,TRUE,TRUE,FALSE,Conclusion appears dependent on committed mitigation or mitigation measures.,codex,high
dac3eb3501e52ced590ca55c52ff93125257061842f19ee7b5eddea623bd647e,soils_geology,TRUE,less_than_significant_with_mitigation,resource_specific,none,,TRUE,TRUE,FALSE,Conclusion appears dependent on committed mitigation or mitigation measures.; Window also contains a different lower-severity conclusion for the same resource.,codex,medium
d613a44eec63ed06f2897869a25bc7fe1198ae65129fb57799c6ec5b1717d6ec,biological,TRUE,less_than_significant,alternative_specific,none,,FALSE,TRUE,FALSE,,codex,high
d613a44eec63ed06f2897869a25bc7fe1198ae65129fb57799c6ec5b1717d6ec,transportation,TRUE,less_than_significant,alternative_specific,none,,FALSE,TRUE,FALSE,,codex,high
428363b9c1a5a263e86d0f06334852cd9aec092d3f1234dd78cb27736e6a7be6,biological,TRUE,less_than_significant,programmatic_or_tiered,none,,FALSE,TRUE,FALSE,,codex,high
428363b9c1a5a263e86d0f06334852cd9aec092d3f1234dd78cb27736e6a7be6,land_use,TRUE,less_than_significant,programmatic_or_tiered,none,,FALSE,TRUE,FALSE,,codex,high
428363b9c1a5a263e86d0f06334852cd9aec092d3f1234dd78cb27736e6a7be6,socioeconomic,TRUE,less_than_significant,programmatic_or_tiered,none,,FALSE,TRUE,FALSE,,codex,high
7853d48694a563197dcc25cdc4499714d4e399188a7f13498ccfb0a9a79ccbbb,biological,TRUE,less_than_significant,programmatic_or_tiered,none,,FALSE,TRUE,FALSE,,codex,high
7853d48694a563197dcc25cdc4499714d4e399188a7f13498ccfb0a9a79ccbbb,land_use,TRUE,less_than_significant,programmatic_or_tiered,none,,FALSE,TRUE,FALSE,,codex,high
