State Connections,Distinct Project Types,Categorical Exclusion,Environmental Assessment,Environmental Impact Statement,Total
Oregon - Washington,"Electricity Transmission, Utilities, Waste Management, Land Development - Other, Surface Transportation - Other, Water Resources - Other, Broadband, Vegetation and Fuels Management, Public and Recreational Land Use, Ecosystem Management and Restoration, Land Use or Forest Management Plan, Land Development - Urban, Renewable Energy Production - Hydropower, Surface Transportation - Bridges, Renewable Energy Production - Energy Storage, Routine Maintenance, Threatened and Endangered Species Management, Water Resources - Irrigation and Water Supply, Agriculture, and Guidance, Data Storage and Data Management, Emergency and Disaster Response, Laws, Policies, Regulations, Renewable Energy Production - Biomass, Renewable Energy Production - Geothermal, Renewable Energy Production - Solar, Research and Development",78,1,8,87
Kansas - Missouri,"Utilities, Research and Development, Surface Transportation - Other, Waste Management, Land Development - Urban, Manufacturing, Renewable Energy Production - Energy Storage, Electricity Transmission, and Guidance, Conventional Energy Production - Other, Laws, Nuclear Technology, Policies, Regulations, Surface Transportation - Public Transportation, Water Resources - Other, Land Development - Housing, Land Development - Other, Military and Defense, Renewable Energy Production - Biomass, Renewable Energy Production - Geothermal, Renewable Energy Production - Other, Renewable Energy Production - Solar, Agriculture, Data Storage and Data Management, High Performance Computing and Advanced Computer Hardware and Software, Land Use or Forest Management Plan, Onshore, Renewable Energy Production - Wind, Water Resources - Irrigation and Water Supply",47,0,3,50
Colorado - New Mexico,"Utilities, Electricity Transmission, Land Development - Other, Broadband, Land Use or Forest Management Plan, Surface Transportation - Other, Waste Management, and Guidance, Laws, Policies, Regulations, Vegetation and Fuels Management, Conventional Energy Production - Other, Research and Development, Water Resources - Other, Ecosystem Management and Restoration, Land Development - Housing, Renewable Energy Production - Solar, Agriculture, Rangeland Management, Renewable Energy Production - Energy Storage, Threatened and Endangered Species Management, Water Resources - Irrigation and Water Supply",40,0,3,43
Virginia - West Virginia,"Research and Development, Waste Management, Utilities, Conventional Energy Production - Other, Land Development - Other, and Guidance, Laws, Policies, Regulations, Renewable Energy Production - Solar, Data Storage and Data Management, Renewable Energy Production - Biomass, Carbon Capture and Sequestration, Electricity Transmission, High Performance Computing and Advanced Computer Hardware and Software, Onshore, Renewable Energy Production - Geothermal, Renewable Energy Production - Other, Renewable Energy Production - Wind, Conventional Energy Production - Nuclear, Emergency and Disaster Response, Habitat Conservation Plan, Land Development - Housing, Land Development - Urban, Manufacturing, Nuclear Technology, Public and Recreational Land Use, Renewable Energy Production - Energy Storage, Surface Transportation - Other, Water Resources - Other",27,0,1,28
Nebraska - Nevada,"Utilities, Electricity Transmission, Land Development - Other, Broadband, Ecosystem Management and Restoration, Water Resources - Irrigation and Water Supply, Conventional Energy Production - Other, Research and Development, Surface Transportation - Other, Threatened and Endangered Species Management, Waste Management, and Guidance, Land Development - Housing, Laws, Mining - Non-Metallic Minerals, Onshore, Policies, Regulations, Renewable Energy Production - Solar, Renewable Energy Production - Wind, Routine Maintenance, Vegetation and Fuels Management, Water Resources - Other",21,0,0,21
California - Nevada,"Electricity Transmission, Utilities, Vegetation and Fuels Management, Ecosystem Management and Restoration, Land Development - Other, Land Use or Forest Management Plan, Public and Recreational Land Use, Renewable Energy Production - Biomass, Renewable Energy Production - Geothermal, Renewable Energy Production - Hydropower, Renewable Energy Production - Solar, Waste Management, Water Resources - Other, Conventional Energy Production - Nuclear, Conventional Energy Production - Other, Emergency and Disaster Response, Nuclear Technology, Onshore, Rangeland Management, Renewable Energy Production - Other, Renewable Energy Production - Wind, Research and Development, Routine Maintenance, Surface Transportation - Other, Threatened and Endangered Species Management",6,3,11,20
Arizona - California,"Electricity Transmission, Utilities, Vegetation and Fuels Management, Surface Transportation - Other, Waste Management, Land Development - Other, Land Use or Forest Management Plan, Routine Maintenance, Water Resources - Irrigation and Water Supply, Conventional Energy Production - Other, Threatened and Endangered Species Management",9,4,5,18
Arizona - California - Nevada,"Electricity Transmission, Utilities, Waste Management, and Guidance, Laws, Policies, Regulations, Vegetation and Fuels Management, Ecosystem Management and Restoration, Renewable Energy Production - Hydropower, Routine Maintenance, Threatened and Endangered Species Management, Water Resources - Irrigation and Water Supply, Water Resources - Other, Agriculture, Broadband, Data Storage and Data Management, Land Development - Other",13,2,2,17
Colorado - Washington,"Electricity Transmission, Utilities, Vegetation and Fuels Management, Broadband, Ecosystem Management and Restoration, Emergency and Disaster Response, Land Use or Forest Management Plan, Rangeland Management, Routine Maintenance",17,0,0,17
Nebraska - Wyoming,"Electricity Transmission, Utilities, Vegetation and Fuels Management, Waste Management, Broadband, Onshore, Renewable Energy Production - Wind, Surface Transportation - Other, Water Resources - Other",11,2,0,13
