project_id,span_type,matched_phrase,heading_title,snippet,threshold_extraction_run_at,threshold_llm_run_at
00a456d42d45bca81408478d7f65dcaa,finding,would require an eis,FINDING OF NO SIGNIFICANT IMPACT,"Compatibility (Docket No. L- OOOOOD-11-0389-00163; Decision No. 72801, 1/26/2012). Therefore, if this condition is met, preparation of an environmental impact statement is not required. In addition, based on the analysis of Water Resources and Floodplains in DOE/EA-1948 (Pages 3-68 to 3-",2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Traffic and Transportation,nge to the characteristic landscape should be moderate. Environmental Consequences Significance Criteria Visual impacts would be significant if:  Views to the Project area resulted in major visual contrast in sensitive or visually unique areas in proximity to hi,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Visual impacts would be significant if:  Views to the Project area resulted in major visual contrast in sensitive or visually unique areas in proximity to hi,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Environmental Consequences,Significance Criteria Visual impacts would be significant if:  Views to the Project area resulted in major visual contrast in sensitive or visually unique areas in proximity to hi,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Impacts to agriculture would be significant if:  Loss of prime or unique farmlands attributable to the Project is a major contribution to the downward trend in the r,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Air Quality,-designation by the EPA to attainment for PM10. Environmental Consequences Significance Criteria Impacts to air quality would be significant if:  Predicted concentrations of criteria pollutants would exceed state and/or Federal ambient air quality standards;  P,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,Significance Criteria Impacts to air quality would be significant if:  Predicted concentrations of criteria pollutants would exceed state and/or Federal ambient air quality standards;  P,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Environmental Consequences,Significance Criteria Impacts to air quality would be significant if:  Predicted concentrations of criteria pollutants would exceed state and/or Federal ambient air quality standards;  P,2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,resource,would be significant if,Land Use,"t to the southern boundary of the Orchard Substation. Environmental Consequences Significance Criteria Land use impacts would be significant if:  The Project is not compatible with land use plans or regulations adopted by local, state, or federal agencies  The",2026-07-22T17:34:50.050859+00:00,
00a456d42d45bca81408478d7f65dcaa,finding,would be significant if,Environmental Consequences,"Significance Criteria Land use impacts would be significant if:  The Project is not compatible with land use plans or regulations adopted by local, state, or federal agencies  The",2026-07-22T17:34:50.050859+00:00,
