"example_id","suggested_class","example_role","pattern_status","pattern_family","project_id","project_title","lead_agency","document_title","page_number","snippet","notes"
"funding_001","federal_funding","positive","include","loan_guarantee","3153f73d56c98c8ccf40db525981fe01","California Valley Solar Ranch Project","Department of Energy","FINAL ENVIRONMENTAL ASSESSMENT Volume I for Department of Energy Loan Guarantee to High Plains II LLC for the California Valley Solar Ranch Project","Page-1","FINAL ENVIRONMENTAL ASSESSMENT Volume I for Department of Energy Loan Guarantee to High Plains II LLC for the California Valley Solar Ranch Project.","Clean title-page loan guarantee anchor."
"funding_002","federal_funding","positive","include","cooperative_agreement_partial_fund","77eb1b37de8501f37cc21e7990aff341","Honeywell International Inc Electric Drive Vehicle Battery and Component Manufacturing Initiative Project","Department of Energy","Final Environmental Assessment For Honeywell International Inc Electric Drive Vehicle Battery and Component Manufacturing Initiative Project Massac County IL","Page-3","The U.S. Department of Energy (DOE) proposes, through a cooperative agreement with Honeywell International Inc. (Honeywell), to partially fund the construction of a manufacturing plant to produce a critical battery material.","Strong cooperative-agreement plus partial-funding language."
"funding_003","federal_funding","positive","include","financial_assistance_under_cooperative_agreement","00b2f4e33f9e91f7ffe1401338859099","Proposed Development and Demonstration of a Biomass Energy Center for Food Processing Applications Topeka Kansas","Department of Energy","PROPOSED DEVELOPMENT AND DEMONSTRATION OF A BIOMASS ENERGY CENTER FOR FOOD PROCESSING APPLICATIONS FINAL ENVIRONMENTAL ASSESSMENT","Page-3","The DOE proposed action is providing financial assistance to Burns & McDonnell Engineering under a cooperative agreement.","Clean financial-assistance formulation tied to a cooperative agreement."
"funding_004","federal_funding","positive","include","doe_cost_share_award","251d4f28-0319-d49b-7044-ccb53c78e79d","1366 Project Silicon Reclaiming US Silicon PV Leadership","Department of Energy","NEPA Determination","1-2","DOE Funding = $6,999,959; Cost Share = $20,999,876; Total Project Cost = $27,999,835.","Useful structured award language with explicit federal and non-federal shares."
"funding_005","federal_funding","positive","include","provide_federal_funding","f5f17760-cb4b-6fb3-2d6c-b0bb1d393c58","The Diablo Regional Distributed Solar Energy Generation Expedited Permit Process","Department of Energy","NEPA Determination","1-1","DOE is proposing to provide federal funding to the Contra Costa Economic Partnership.","Direct project-specific funding statement."
"funding_006","federal_funding","positive","include","awarding_a_grant_partial_fund","27d03679e2b81045ab2f54d347ee5a41","Lithium-Ion Battery Recycling to Produce Battery-Grade Raw Materials","Department of Energy","FINDING OF NO SIGNIFICANT IMPACT FOR LITHIUM-ION BATTERY RECYCLING TO PRODUCE BATTERY-GRADE RAW MATERIALS","Page-1","DOE determined that its proposed action, awarding a grant to Cirba Solutions to partially fund the expansion of its existing lithium-ion battery recycling facility, would result in no significant adverse impacts.","Good modern grant-to-partially-fund phrasing."
"funding_007","federal_funding","positive","include","cost_shared_arrangement","5aa87fb6b55b8548dc980edcbc20a84a","Sila Nanotechnologies Moses Lake Auto-Scale Silicon Anode Plant","Department of Energy","DRAFT ENVIRONMENTAL ASSESSMENT SILA NANOTECHNOLOGIES MOSES LAKE AUTO-SCALE SILICON ANODE PLANT","Page-2","DOE's proposed action is to provide $100 million of the project's total award value of $611 million in a cost-shared arrangement.","Modern award language worth preserving as its own pattern family."
"funding_008","federal_funding","positive","include","federal_cost_share","175c499418ed1425e32b0f99352c0afb","The Plasma Low-Cost Ultra Sustainable Cathode Active Material PlusCAM Project","Department of Energy","THE PLASMA LOW-COST ULTRA SUSTAINABLE CATHODE ACTIVE MATERIAL PlusCAM PROJECT FINAL ENVIRONMENTAL ASSESSMENT","Page-4","DOE's action is to provide 6K with a $50,000,000 Federal Cost Share towards a $177,808,345 Total Project Value.","Clean federal cost-share terminology."
"funding_009","federal_funding","positive","include","eecbg_funding","861a255e-24f1-8c37-c0da-efd3c104a3fb","EECBG Electric Vehicle Pilot in County Fleet","Department of Energy","NEPA DETERMINATION","1-1","The County of Arlington in Virginia is proposing to use DOE EECBG funding in the amount of $28,985 to offset the purchase of a Chevy Volt electric vehicle for their fleet.","Useful EECBG formula-funding example."
"funding_010","federal_funding","positive","include","formula_based_grants","5d988327-5b0c-2e21-8c87-12c04a3f2cb5","Cheyenne and Arapaho Tribes of OK Energy Efficiency and Conservation Strategies","Department of Energy","NEPA Determination for the Energy Efficiency and Conservation Block Grant Program","1-2","The American Recovery and Reinvestment Act appropriates funding for DOE to issue formula-based grants to states, territories, units of local government, and Indian tribes under the Energy Efficiency and Conservation Block Grant Program.","Keep as a language example even though ARRA itself is not a live trigger rule."
