Resource,example
Visual,"With mitigation, impacts to scenic vistas would remain adverse and unavoidable (VIS-1)."
Visual,Aesthetics impacts are listed in Table ES-2 as significant and unavoidable even with mitigation.
Biological,The proposed project would result in major unavoidable adverse effects on desert tortoise habitat.
Biological,Potential panel and infrastructure collision risks to special-status birds (Impact 3.3.5a) would be significant and unavoidable.
Cultural / historic,The project would cause direct and indirect adverse change to the significance of historic properties.
Cultural / historic,Remaining significant (or potentially significant) unavoidable adverse impacts were identified for cultural resources.
Air quality,Unavoidable air quality impacts due to dust generated during site preparation and construction.
Air quality,"Following mitigation, PM10 emissions would remain significant and unavoidable for the Proposed Action."
Noise,"Noise associated with Alternative 4 operations is identified as a long-term, unavoidable impact."
Noise,Vibration impacts to humans would remain significant and unavoidable during blasting at Copco 1.
Land use,Long-term loss of grazing allotments is identified as an unavoidable adverse impact.
Land use,Long-term loss of grazing allotments is identified as an unavoidable adverse land use impact.
Water,Cumulative impact on watersheds is identified as an unavoidable adverse water resources effect for all action alternatives.
Water,Cumulative impact on watersheds is listed as an adverse environmental effect that cannot be avoided for all action alternatives.
Transportation,"Traffic associated with Alternative 4 operations is identified as a long-term, unavoidable impact."
Transportation,"Long-term, unavoidable traffic impacts were identified as associated with Alternative 4 operations."
Socioeconomic,Potential short-term and long-term impacts on current land uses would produce associated social and economic impacts.
Socioeconomic,Potential for short-term construction and long-term impacts on current land uses and associated social and economic resources.
Soils / geology,Impacts to paleontological resources under this alternative are similar to the Proposed Action and would be significant under criterion P-1.
Soils / geology,"Unavoidable adverse impacts associated with the Proposed Action and Maximum Development Alternative include effects on topography, geology and soils."
Public health,"Worker injuries or death are considered unavoidable adverse impacts given the hazardous nature, complexity, and scale of the Project."
Public health,"Project-induced currents or shocks would create hazards to the public, listed as a significant unmitigable impact despite grounding measures."
Climate / GHG,Significant and unmitigable impacts from cumulative GHG emissions are identified for the Proposed CRS and all alternative sites.
Climate / GHG,Removing dams or developing fish passage could increase GHG emissions from non-renewable alternate power sources despite mitigation measures.
