tier,old_tag,new_tag,sim,heading,condition_text
tier1,unknown,socioeconomic,,Socioeconomics,"In the 30-40% of situations where Grand View ambulance responds and later finds that the individual does not have the ability to pay, the ambulance district must absorb those costs"
tier1,unknown,air_quality,,Air quality monitoring,Table 3.2-2 shows pollutant concentrationsat the monitoring stations nearest to ETTP for pollutants covered by t h eNMQS.
tier1,unknown,cultural,,Environmental Consequences – Cultural Re,In no instance should the mower perpendicularly cross the trail.
tier1,unknown,cultural,,Archaeological Monitoring,The memo will present the results of monitoring for that week.
tier1,unknown,biological,,Vegetation,The Holder shall protect all survey monuments found within the ROW.
tier1,unknown,visual,,Visual Resource Management,"When staging areas’ use is complete, the land shall be restored to its original condition."
tier1,unknown,biological,,"Air, Noise, Geologic, Paleontological, W","If the functionality of the GRS is no longer required, as a Federal Agency, MHAFB is required to remove, demolish and rehabilitate military facilities under BRAC (Base Realignment "
tier1,unknown,land_use,,Land Use Mitigation Measures,"For projects that have the potential to convert important farmland to non-farm use, the NRCS must be contacted."
tier1,unknown,biological,,Wildlife,The forms that document agency verification (WAPA and the USFWS) that the Project is in compliance with the Programmatic BA are included in Appendix F of this EA.
tier1,unknown,soils_geology,,Mitigation Measure A: Erosion and Sedime,"While hand work will be allowed on slopes greater than 30%, the use of heavy equipment will be restricted to slopes less than 30%."
tier2,unknown,public_health,0.527,Environmental Consequences,The evaporation pond waste materials must next be evaluated to determine if they are a hazardous waste.
tier2,unknown,public_health,0.456,Finding of No Significant Impact,All waste (including food or other organic waste) shall be backhauled.
tier2,unknown,socioeconomic,0.564,FINDING OF NO SIGNIFICANT IMPACT,"The proposed activities will not threaten any violation of Federal, State, or local law or requirements imposed for the protection of the environment (40 CFR 1508.27(b)(10))."
tier2,unknown,socioeconomic,0.51,Finding of No Significant Impact,None of the impacts are considered significant and the proponent has incorporated measures to reduce or mitigate impacts into the Proposed Action.
tier2,unknown,socioeconomic,0.487,DECISION,The Holder shall indemnify the United States against any liability for damage to life or property arising from the occupancy or use of public lands under this grant or permit.
tier2,unknown,water,0.469,Finding of No Significant Impact,Water usage and disposal will be permitted and monitored by the State of Louisiana to prevent long-term impacts to water resources.
tier2,unknown,noise,0.527,Mitigation and Residual Impacts,"If other nest, den sites, or territories are documented as part of this survey, the decision to permit blasting between May 1 and July 15 should be discussed and authorized at the "
tier2,unknown,cultural,0.509,Mitigation Measures,"This report should include discussions of the methods used, stratigraphic section(s) exposed, fossils collected, and significance of recovered fossils."
tier2,unknown,socioeconomic,0.664,Finding of No Significant Impact,"Therefore, an environmental impact statement is not required."
tier2,unknown,socioeconomic,0.547,DECISION,The action will not conflict with any other decisions contained within the plan.
