"mechanism","project_title","federal_amount_usd","source_text"
"Cooperative Agreement","DIII-D National Fusion Program Research and Facility Operations and Advanced Fusion Technology Research and Development",475287677.89,"Proposed Action Title: DIII-D National Fusion Program Research and Facility Operations and Advanced Fusion Technology Research and Development Total DOE Funding/Total Funding: $475,287,677.89 Proposed I."
"Cooperative Agreement","DIII-D National Fusion Program Research and Facility Operations and Advanced Fusion Technology Research and Development",456394130,"Total DOE Funding/Total Funding: $456,394,130 Proposed I."
"Cooperative Agreement","DIII-D National Fusion Program Research and Facility Operations and Advanced Fusion Technology Research and Development",456394130,"Total DOE Funding/Total Funding: $456,394,130 Proposed I."
"Cooperative Agreement","Pacific Gas and Electric Company (PG&E) Compressed Air Energy Storage (CAES) Compression Testing Phase Project",2.5e+07,"S. Department of Energy (DOE) prepared this final environmental assessment (EA) to evaluate the potential environmental impacts of providing a financial assistance grant for up to $25 million under the American Recovery and Reinvestment Act of 2009 in a cooperative agreement with Pacific Gas and Electric Company (PG&E) as part of the Smart Grid Demonstrations Program. The study is co-funded by the federal DO"
"Cooperative Agreement","Smart Grid, Center for Commercialization of Electric Technology (CCET), Technology Solutions for Wind Integration in ERCOT",13500000,"aceted, synergistic approach to managing fluctuations in wind power within the Electric Reliability Council of Texas (ERCOT) transmission grid. DOE’s proposed action would award a $13.5 million financial assistance grant to CCET to facilitate (1) the purchase, installation, and demonstration of the Texas Future Community (Discovery at Spring Trails) and (2) the installation of monitoring equipment in 13 existi"
"Cooperative Agreement","Center for Commercialization of Electric Technology (CCET), Reese Technology Center (RTC) Wind and Battery Integration Project",1850000,"n Recovery and Reinvestment Act of 2009, as part of a cooperative agreement, to the Center for Commercialization of Electric Technology (CCET). DOE’s proposed action would award a $1.85 million financial assistance grant to CCET to demonstrate battery technology integration with wind generated electricity by deploying and evaluating utility-scale lithium battery technology to improve grid performance and there"
"Cooperative Agreement","DOE’s Proposed Financial Assistance to Pennsylvania for Frey Farm Landfill Wind Energy Project",1500000,"Pennsylvania proposes to provide the project a $1.5 million grant, which would come from a formula grant Pennsylvania received from DOE pursuant to the Department’s State Energy Program."
"Cooperative Agreement","Battelle Memorial Institute’s Smart Grid Project at the City of Ellensburg’s Renewable Energy Park, Kittitas County, Washington",6e+05,"Institute (Battelle). This agreement would facilitate expansion of solar energy generation and add wind capacity at the Renewable Energy Park. DOE’s proposed action is to award a $600,000 financial assistance grant to Battelle to facilitate the expansion of solar generation and the addition of wind capacity at the City of Ellensburg’s Renewable Energy Park located in Ellensburg, Washington. The estimated"
"Loan Guarantee","Monolith Olive Creek Expansion Facility",9.69e+08,"and Need for Agency Action The proposed action evaluated by the U.S. Department of Energy (DOE) in this environmental assessment (EA) is to issue a loan guarantee in the amount of $969 million to Monolith Nebraska LLC (Monolith) to support expansion construction and start-up of its natural gas to carbon black manufacturing plant in Hallam, Nebraska. The Energy Policy Act of 2005 (EPAct 2005) established a Fed"
"Loan Guarantee","DEPARTMENT OF ENERGY LOAN GUARANTEE TO SOLYNDRA, INC. FOR CONSTRUCTION OF A PHOTOVOLTAIC MANUFACTURING FACILITY AND LEASING OF AN EXISTING COMMERCIAL FACILITY IN FREMONT, CALIFORNIA",5.35e+08,"ssment ES-1 Proposed Guarantee of Loan to Solyndra, Inc. EXECUTIVE SUMMARY INTRODUCTION The U.S. Department of Energy (DOE) is proposing to issue a loan guarantee in the amount of $535 million to Solyndra, Inc. (Solyndra) for (1) the construction of a photovoltaic manufacturing facility and accompanying administrative offices in Fremont, California; and (2) the leasing of an existing commercial facility for a"
"Loan Guarantee","Construction of the Diamond Green Diesel Facility",2.41e+08,"hington, DC 20585 April 2011 FINAL ENVIRONMENTAL ASSESSMENT Environmental Assessment DOE/EA-1795 i SUMMARY Introduction The U.S. Department of Energy (DOE) is proposing to issue a $241 million loan guarantee to Diamond Green Diesel, LLC (Diamond) to support construction of a biomass-based diesel facility adjacent to the existing Valero St. Charles Refinery (VSCR) in Norco, Louisiana. DOE has prepared this Env"
"Loan Guarantee","Stion Corporation CIGSS Manufacturing Plant",5e+06,"ciency and Renewable Energy (EERE) Project Management Center (Golden Field Office) issued a National Environmental Policy Act categorical exclusion (GFO-10-599-001) for the use of $5 million in Recovery Act funds (state block grant) for Stion Corporation to design, build, assemble and install 28 Metalorganic Chemical Vapor Deposition Tools and ancillary components and to upgrade the service yard at 6331 San"
"Loan Guarantee","AltAir Fuels",2e+06,"DOE has made a final NEPA determination for this award Insert the following language in the award: Note to Specialist: According to the project officer, funding for this effort is $2,000,000. Unless there is a significant c"
