Factor,example
Sheer magnitude,The Pier 41 Alternative could result in major socioeconomic impacts.
Sheer magnitude,The Build Alternative would result in significant impacts to visual resources.
Protected resource,Alternative E would result in significant impacts to cultural resources.
Protected resource,Significant impacts on Usual and Accustomed (U&A) fishing rights are identified.
Cumulative effect,"The presence of the AEWP would add to a cumulative visual alteration, as discussed above."
Cumulative effect,Cumulative impacts to terrestrial ecology and aquatic resources are rated MODERATE to LARGE.
Regulatory threshold,VRM Class III objectives would not be met for this segment.
Regulatory threshold,Greenhouse gas emissions cumulatively would exceed the applicable CEQ threshold.
Significant but mitigable,Significant but mitigable impacts to parade-ground vegetation from irrigation with reclaimed water.
Significant but mitigable,Development activities would introduce intrusions that could unavoidably affect the visual landscape.
Duration / permanence,Long-term loss of grazing allotments is identified as an unavoidable adverse impact.
Duration / permanence,Short-term decreases in water clarity would have a significant adverse effect on recreation.
Scientific uncertainty,"Population increase is possibly significant for Phase I, with impacts for future phases unknown."
Scientific uncertainty,Inadvertent damage to paleontological resources not identified by monitors could occur during excavation.
Geographic extent,"The Western Alternative would result in 14.5 miles of significant, long-term visual impacts."
Geographic extent,Land developed for renewable energy facilities would no longer be available for livestock grazing.
Controversy,"The proposed transmission line would conflict with the City of Yuma's resolution opposing the line, resulting in an unavoidable significant impact on the city's land planning policy."
Controversy,"The proposed transmission line would conflict with a City of Yuma resolution opposing a 500-kV line in that location, resulting in a significant impact with no identified mitigation measures."
