"energy_group","process_type","tech_group","lead_agency","project_title","excerpt","framing_summary"
"Decarbonization","EA","Biomass","Department of Energy","Chariton Valley Biomass Project","“OGS Site The Proposed Action would not significantly impact the current aesthetics or viewscapes at or near the OGS plant. Although the proposed new buildings would be built on slightly higher ground than the OGS plant, they would be small and low (approximately 11 meters [36 feet] maximum height) compared to the 80-meter (250-foot) high OGS main plant building. The proposed new structures would not be visible from the Des Moines River, because the view would be screened by trees and by the relative position of the OGS main plant. The elevated gallery connecting the two proposed buildings w...”","Significance-framed"
"Decarbonization","EIS","Biomass","Forest Service","Mt. Bachelor Ski Area Improvements Project","“45 and 46 (The Cascade Lakes National Scenic Byway). 45 and 46 (The Cascade Lakes National Scenic Byway). Environmental Issue No-Action Alternative Alternative A – No New Catchline - On-mountain Improvements No change from existing conditions; views would continue to meet Visual Quality Objective (VQO) of Partial Retention and Scenic Integrity Level (SIL) of Moderate. Eastside pod and new catchline would be visible from some nearby viewpoints on Hwy. Same as Proposed Action, except no new catchline would be visible from the viewpoint at the junction of Hwys. 190 LIST OF APPENDICES Appendix ...”","Significance-framed"
"Decarbonization","EIS","Geothermal","Forest Service","Big Creek Geothermal Leasing Project, Salmon-Cobalt and N...","“Impacts under Alternative 2 could involve equipment, structures, roads, and operations, which would alter the characteristic landscape and be sources of light and glare. Natural landscape features and viewer sensitivity help to establish visual management objectives for any given area.  Partial retention—This objective provides for management activities that remain visually subordinate to the characteristic landscape.  Maximum modification—This VQO represents the lowest visual quality objective in the management system. 3.15.2 Affected Environment The Big Creek Hot Springs area is in the ...”","Significance-framed"
"Decarbonization","EIS","Hydropower","Department of Energy","Hydropower Licenses: Wilder Hydroelectric Project, Federa...","“The Connecticut River Valley is recognized for its scenic mountains, historic villages, and open farmland. The mix of open space, villages, farms, country roads, mountainous terrain, historic architecture, and surface waters provide scenic vistas and a serene landscape. The valley is surrounded by the Green Mountains on the west and the White Mountains on the east. Wilder dam and powerhouse are adjacent to New Hampshire Route 10 and the community of Wilder, Vermont. Both features are clearly visible to motorists and visitors at the scenic picnic overlook across from the dam. Additional view...”","Significance-framed"
"Decarbonization","EIS","Hydropower","Bureau of Reclamation","Reinitiation of Consultation on the Coordinated Long-Term...","“Visual effects are dependent upon the viewpoint of individuals because each person can respond differently to changes in the physical environment depending upon expectations, historical perspective, duration and frequency of the views, and extent of a viewshed. A viewshed is defined by the Federal Highway Administration (DOT 1981) as a surface area visible from a particular location. The character of a viewshed can also vary daily, seasonally, and with changing weather. This classification system also considers the scenic integrity, or the completeness of the landscape character. Changes in...”","Mitigation-framed"
"Decarbonization","EIS","Nuclear","Nuclear Regulatory Commission","Seabrook Station License Renewal","“The onshore wind turbines, which are over 300 ft (100 m) tall and spread across multiple sites, would dominate the view and would likely become the major focus of attention. The site is visible from Hampton Flats, US Highway 1A, and Hampton Harbor. During the winter season, the site is visible from elevated locations, such as Powwow Hill, located approximately 2 mi (3.2 km) southwest in Amesbury, Massachusetts. The addition of three cooling towers standing 66 ft (20 m) tall would make the facility more visible as the developed footprint of the facility would be expanded; the towers would al...”","Significance-framed"
"Decarbonization","EA","Nuclear","Bureau of Land Management","USGS Groundwater Monitoring Well","“The project area is within a designated Visual Resource Management Class III area. The objective of Class III is to partially retain the existing character of the landscape. Management activities may attract attention, but not dominate the view of the casual observer. The proposed action would not attract the attention of the casual observer, because it would not be visible to the public, and is very small in size. Present but not affected RESOURCE RATIONALE FOR DETERMINATION DETERMINATION Mineral Resources Locatable mineral resources such as uranium are known to occur in the area. Salable ...”","Mitigation-framed"
"Decarbonization","EA","Other Clean","Bureau of Land Management","Ross Point Recreation Site","“7.6.1 Affected Environment The Coeur d’Alene RMP designated the landscape in and around the project area as Visual Resource Management (VRM) Class II. : View of the project site from the key observation point. Only the features near the shore (south end of the site) from the Proposed Action would be would be visible from the KOP. Hence there would also be no changes to the viewshed from the KOP, except for those resulting from the Proposed Action or Alternative B, and little else will contribute to cumulative effects for visual resources. 7.6.1 Affected Environment The Coeur d’Alene RMP des...”","Significance-framed"
"Decarbonization","EA","Other Clean","Bureau of Land Management","ASTAC Terrestrial Fiber Optic Cable between Atqasuk and U...","“Alternative A: Proposed Action Specific impacts to VRM activities are discussed and were analyzed most recently in the 2012 BLM NPR-A IAP/EIS. The majority of the fiber optic cable would be on the ground and not affect VRM. The portion of the proposed action that has the potential to affect VRM is the of 51 overhead line across the three different waterways. The proposed action calls for installing a 25foot pole on each side of the river with a wire going across the river, which has bird diverters for the benefit of bird species. Direct impacts to the visual resources would be the visibilit...”","Mitigation-framed"
"Decarbonization","EA","Solar","Department of Energy","DEPARTMENT OF ENERGY LOAN GUARANTEE TO ABENGOA SOLAR INC....","“TABLES Public Outreach Summary Summary of Issues and Concerns Identified During Public Outreach Permits, Approvals, and Authorizations for the Solana CSP Project Solana Site Components Solana Construction Emissions Estimates and Applicable Limits Construction Equipment Noise Levelsa Soil Associations in the Vicinity of the Solana Site Federal Emergency Management Agency Flood Zones Socioeconomic Profile of the Solana CSP Project Vicinitya Total Percentage of Population by Race/Ethnicitya Income and Poverty Level Existing Peak Hour Levels of Service DOE/ vii APPENDICES Appendix A Public Supp...”","Significance-framed"
