"Trigger Type","Review Process","Lead Agency","Project Title","Evidence Text","Evidence Source"
"Funding","EA","Department of Energy","Ocean Sequestration of CO2 Field Experiment","DOE would provide funds for development of experimental plans, public outreach, permitting, data analysis, modeling predictions, and other support functions; the DOE funding would equate to about 20% of the total estimated cost of the experiment. The primary purpose of the Field Experiment would be to develop the data needed to verify scientific principles and to test, validate, and refine computer models used for predicting the behavior of carbon dioxide released into the ocean at moderate depth.","purpose_and_need"
"Funding","EA","Energy Programs","Old Town Fuel and Fiber Proposed Demonstration-Scale Integrated Biorefinery, Old Town, Maine","This EA analyzes the potential environmental and socioeconomic impacts that would result from implementing the Proposed Action (with DOE funding) and the No-Action Alternative (without DOE funding), and evaluates the potential individual and cumulative effects of the Proposed Action 1.3 Public Scoping In accordance with applicable regulations and policies, DOE sent scoping letters to potentially interested local, state, and federal agencies, including the U.S.","purpose_and_need"
"Land","EIS","Department of the Interior","Cross-Tie 500-kilovolt Transmission Project","Cross-Tie 500-kV Transmission Project Draft Environmental Impact Statement Executive Summary ES-1 Executive Summary 1.0 Introduction TransCanyon, LLC (TransCanyon or Applicant), has applied for a right-of-way (ROW) grant and a Special Use Permit (SUP) to construct, operate, maintain, and decommission the Cross-Tie 500-kilovolt (kV) Transmiss...","purpose_and_need"
"Land","CE","Department of Agriculture","Special Use Authorization for Electrical Line Realignment (Consumers Energy Amendment 18)","The right-of-way will be 20 feet wide and 10,302 feet long, for a total affected area of 4.73 acres. The following mitigation measures will be outlined in construction stipulations that will be made part of the special use permit amendment: * Tree removal will not be conducted May 1 - September 1 to protect roosting bats and other wildlife. * Tree removal will not be conducted May 1 - September 1 to protect roosting bats and other wildlife. * If any unknown cultural resources are discovered during the project activities for the proposed project or there is a change in the location of the Area...","description"
"PMA/TVA","EIS","Department of Energy","San Luis Rio Colorado Project","The purpose and need for the decisions of the Federal agencies regarding the Proposed Project are discussed below. Western Area Power Administration Western’s decision is to grant or deny an interconnection request at its Gila Substation under the provisions of its Open Access Transmission Services Tariff, which complies with the intent of Federal Energy Regulatory Commission (FERC) Orders for providing nondiscriminatory transmission access.","purpose_and_need"
"PMA/TVA","EIS",NA,"Southline Transmission Line Project","The proposed Project would include the construction of approximately 240 miles of new double-circuit 345-kilovolt (kV) transmission line, and the upgrade of approximately 120 miles of Western Area Power Administration’s (Western’s) existing Saguaro–Tucson and Tucson–Apache 115-kV transmission lines to a double-circuit 230-kV transmission line.","purpose_and_need"
"Direct Action","EIS","Department of Energy","Construction and Operation of the Spallation Neutron Source","20585 Telephone: (202) 586-4600, or leave a message at (800) 472-2756 Facsimile: (202) 586-7031 ABSTRACT: DOE proposes to construct and operate a state-of-the-art, short-pulsed spallation neutron source comprised of an ion source, a linear accelerator, a proton accumulator ring, and an experiment building containing a liquid mercury target and a suite of neutron scattering instrumentation.","purpose_and_need"
"Direct Action","EIS","Department of Energy","Strategic Petroleum Reserve Expansion of Reserve","Description of the Proposed Action : The Department of Energy Administration proposes to implement the S trategic Petroleum Reserve , Titl e I , Part B of the Energy Policy and Conservation Act o f 1975 ( P .","purpose_and_need"
"Program","EIS","Nuclear Regulatory Commission","Completion and Operation of Watts Bar Nuclear Plant Unit 2","As set forth in the GEIS (generic environmental impact statement), Category 1 issues are those defined as meeting all of the following criteria: Internet Address (URL) http://www.epa.gov Recycled/Recyclable .Printed with Vegetable Oil Based Inks on Recyded Paper (Minimum 30% Poslconsumer) The environmental impacts associated with the issue are determined to apply either to all plants or, for some issues, to plants having a specific type of cooling system or other specified plant or site characteristics.","purpose_and_need"
"Program","CE","Department of Energy","Hydrogen Generation and Fueling Station on the STM Campus","Final Site-Site Wide Environmental Assessment of the National Renewable Energy Laboratory's (NREL) South Table Mountain Complex (February 2003) Rational for determination: BACKGROUND This proposed project would be for the purchase, installation, and operation a hydrogen generation and fueling system (HGFS) at the Vehicle Testing and Integration Facility (VTIF) located at the National Renewable Energy Laboratory's (NREL's) South Table Mountain (STM) campus in the Golden, Colorado.","description"
"Permit","EIS","Department of Energy","New England/Hydro-Quebec ± 450 kilovolt Transmission Line Interconnection-Phase II","The proposed act ion is the issuance of an amendment to Presidential Permit PP-76 to the Vermont Electric Transmiss ion Company to operate the internat ional interconnect ion therein authorized at power levels above those stipulated in PP-76 , and to construct new transmission fac ilities to d istr ibute this power .","purpose_and_need"
"Permit","EIS","Department of Energy","Eagle Mountain Pumped Storage Hydroelectric Project","We urge development of more definitive information on the amount of acid rock drainage, prior to the Commission’s approval of the hydropower license.","purpose_and_need"
"Property Transaction","EIS","Denali Commission","Mertarvik Infrastructure Development, Nelson Island, Alaska","This final Environmental Impact Statement (EIS) describes a number of alternatives in a historical context for the purpose of illustrating how the long-term evolution of the project led to the selection of a new village site to be constructed at Mertarvik on Nelson Island, a site granted to the village in a land exchange approved by the U.S.","description"
