Resource,example
Biological,Restricting construction to August/September is intended to mitigate potential nest failure and displacement effects on Red-throated Loons.
Biological,Potential impacts to desert kit fox would be avoided through compliance with general avoidance and mitigation measures identified in Appendix G.
Soils / geology,Use of BMPs and implementation of a construction SWPPP would ensure that short-term soil erosion and sediment transport impacts remain minor.
Soils / geology,"Soil erosion potential is limited by flat topography and controlled on-site via compliance with mitigation in Appendix B, resulting in a minor impact."
Water,Wetlands in the area were inventoried and potential impacts were mitigated in the design of the Proposed Action alternative.
Water,"Impacts to wetlands would be low, with only 0.01 acre of permanent wetland fill from structure replacement activities and impact minimization measures applied."
Cultural / historic,KSU committed to minimize or avoid potential effects to cultural resources via protection measures detailed in section 2.5 of the EA.
Cultural / historic,"The PV array at Lakehurst may result in indirect visual effects to the LTA Historic District, but appropriate landscaping would minimize this effect."
Public health,"With mitigation measures and BMPs, fire-prevention measures and traffic management would prevent disruption to fire, police, and medical emergency services."
Public health,"With BMPs in place for portable toilet sanitary services during construction and operation, potential impacts from sanitary discharges would be non-significant."
Visual,KSU committed to minimize or avoid potential effects to visual resources through protection measures in section 2.5 of the EA.
Visual,"VRM impacts are minor and localized, mitigated to the greatest degree feasible through Appendix B measures and project-specific stipulations."
Air quality,"Air quality impacts would be low, temporary, and would not violate air quality standards, with dust control mitigation minimizing construction impacts."
Air quality,"Construction would cause unavoidable minor air quality impacts, but standard pollution control equipment on construction vehicles would mitigate these minor impacts."
Noise,"Construction noise would be discernable up to 2,000 feet but would be low to moderate and mitigated by limiting activities to daytime hours where feasible."
Noise,Construction noise from initial vegetation removal would not significantly affect sensitive receptors or conflict with noise guidelines due to implementation of PCMs and the short duration of activities.
Transportation,KSU committed to minimize or avoid potential effects to transportation through the protection measures detailed in section 2.5 of the EA.
Transportation,"Traffic delays from construction and lane closures would be temporary, with traffic controllers used where appropriate to reduce impacts."
Land use,KSU committed to implement protection measures to minimize or avoid potential effects to land uses as detailed in section 2.5 of the EA.
Land use,Minor short- and long-term impacts to livestock grazing forage availability would not be significant with best management practices and mitigation measures.
Socioeconomic,"Agricultural land disturbance would be temporary and mitigated by revegetation, scheduling around fallow periods, compensating landowners for crop loss, and maintaining fences/gates."
