Project Title,Technology,Location
Palen Solar Project,Solar,"Riverside, CA"
Southern Bighorn Solar Projects,"Solar, Energy Storage, Electricity Transmission","Clark, NV"
Chuckwalla Solar Projects,"Solar, Energy Storage, Electricity Transmission","Clark, NV"
Bonanza Solar Project,"Solar, Threatened and Endangered Species Management, Ecosystem Management and Restoration, Land Use or Forest Management Plan","Clark, NV"
Desert Harvest Solar Project,"Solar, Electricity Transmission, Land Use or Forest Management Plan","Riverside, CA"
Desert Quartzite Solar Project,"Solar, Electricity Transmission","Riverside, CA"
Searchlight Wind Energy Project,"Wind, Onshore, Electricity Transmission, Laws, Policies, Regulations, and Guidance","Clark, NV"
Searchlight Wind Energy Project,"Wind, Onshore, Electricity Transmission","Clark, NV"
Silver State Solar South Project and Proposed Las Vegas Field Office Resource Management Plan Amendment,"Solar, Land Use or Forest Management Plan","Clark, NV"
Crescent Peak Wind Energy Project,"Wind, Onshore, Electricity Transmission","Clark, NV"
Modified Blythe Solar Power Project,"Solar, Electricity Transmission","Riverside, CA"
Arrow Canyon Solar Project,"Solar, Energy Storage, Electricity Transmission","Clark, NV"
Bonanza Solar Project,"Solar, Energy Storage, Electricity Transmission, Land Use or Forest Management Plan","Clark, NV"
"Rough Hat Clark Solar Project, Clark County, Nevada","Solar, Energy Storage, Electricity Transmission","Clark, NV"
McCoy Solar Energy Project,"Solar, Land Use or Forest Management Plan, Laws, Policies, Regulations, and Guidance, Electricity Transmission","Riverside, CA"
Gemini Solar Project,"Solar, Electricity Transmission, Land Use or Forest Management Plan, Laws, Policies, Regulations, and Guidance","Clark, NV"
"Rice Solar Energy Project, Riverside County, California","Solar, Electricity Transmission","Riverside, CA"
Crimson Solar Project,"Solar, Electricity Transmission, Land Use or Forest Management Plan","Riverside, CA"
Gemini Solar Project,"Solar, Electricity Transmission","Clark, NV"
Yahthumb Solar Project,"Solar, Energy Storage, Electricity Transmission","Clark, NV"
