Project Title,Technology,Location
Easley Renewable Energy Project,"Solar, Energy Storage, Electricity Transmission, Waste Management","Riverside, CA"
"IP Athos Renewable Energy Project 220-kV Generation Tie-Line Invasive Plant Management Integrated Weed Management Plan and Pesticide Use Proposal for Construction, Operation, and Maintenance Activities","Vegetation and Fuels Management, Electricity Transmission, Solar, Routine Maintenance, Ecosystem Management and Restoration, Threatened and Endangered Species Management","Riverside, CA"
Arica Solar Project and Victory Pass Solar Project,"Solar, Electricity Transmission","Riverside, CA"
"Riverside East Solar Energy Zone, Excavation Pits for Soil Profile Characterization","Research and Development, Solar","Riverside, CA"
Black Rock Communications Tower and Power Line,"Utilities, Broadband, Electricity Transmission","Mohave, AZ"
Renewal of Happy Jack Rights-of-Way Grants,"Utilities, Electricity Transmission, Broadband","Mohave, AZ"
Desert Harvest Solar Project Integrated Weed Management Plan Implementation for Operations and Maintenance Activities,"Solar, Vegetation and Fuels Management, Ecosystem Management and Restoration, Threatened and Endangered Species Management, Laws, Policies, Regulations, and Guidance","Riverside, CA"
USGS Groundwater Monitoring Well,"Water Resources - Other, Mining - Metals, Conventional Energy Production - Nuclear, Research and Development, Ecosystem Management and Restoration","Mohave, AZ"
Indian Canyon Drive and Bridge Widening,"Surface Transportation - Bridges, Surface Transportation - Other, Utilities","Riverside, CA"
Andrews Farms Right-of-Way,"Surface Transportation - Other, Utilities, Routine Maintenance","Mohave, AZ"
Blythe Mesa Solar Project,"Solar, Electricity Transmission","Riverside, CA"
Sacramento Valley Rights-of-Way Reauthorizations,"Electricity Transmission, Utilities, Routine Maintenance","Mohave, AZ"
West Highway 93 Rights-of-Way Renewals,"Electricity Transmission, Utilities","Mohave, AZ"
Mount Perkins Communications Site - BLM,"Utilities, Solar, Land Use or Forest Management Plan, Ecosystem Management and Restoration, Threatened and Endangered Species Management, Routine Maintenance","Mohave, AZ"
Right-of-Way AZA 037286,"Utilities, Electricity Transmission, Routine Maintenance","Mohave, AZ"
Crossman Peak Road Right-of-Way,"Surface Transportation - Other, Routine Maintenance, Utilities","Mohave, AZ"
Black Rock Communications Tower and Power Line,"Utilities, Broadband, Electricity Transmission","Mohave, AZ"
Arica and Victory Pass Solar Projects,Solar,"Riverside, CA"
Mesa Wind Repower Project,"Wind, Onshore, Electricity Transmission, Waste Management","Riverside, CA"
Pesticide Use Permit for Riviera Substation,"Utilities, Electricity Transmission, Vegetation and Fuels Management, Routine Maintenance","Mohave, AZ"
