project_id,document_id,process_type,energy_group,tech_group,extraction_method,page_start,page_end,n_words,excerpt_first_400_chars,qa_run_at
f4f0f310c854e90116a5ae55070eb0e9,3d3805aeb7f0f5ef5bfb57c13a06ec28,EA,Decarbonization,Transmission,heading_anchored,125,129,1835,"3.11.1 Affected Environment
The ROW crosses a variety of terrains that contribute to visual diversity: relatively
open and flat areas with patches of cottonwood and aspen trees near a Reclamation
recreation area along the SFSR; agricultural land (both irrigated and dry land
farming); wooded draws; a mine; stands of conifer forest and riparian areas near Fall
Creek; paralleling a road with conifer ",2026-05-19T21:23:47.762107+00:00
9a0629edc29bb08149d2c325c1d4e9c4,80688ebb69285bdfbde0c3487f1e4b5c,EA,Decarbonization,Transmission,heading_anchored,21,22,209,"Affected Environment – Visual Resources
The BLM has established the Visual Resource Management (VRM) system to protect the scenic
value of public lands that are within its jurisdiction. The VRM system provides for management
of visual resources to prevent undue degradation and that the visual value of the BLM lands will
be considered whenever any physical actions are proposed. The degree of altera",2026-05-19T21:23:47.762107+00:00
97b7b6f693aac5edd9e54019b8f24a26,1831874686ee1924b8fd0d3526dcd8c8,EA,Decarbonization,Transmission,keyword_run,5,10,2632,"This chapter briefly describes the physical and regulatory environment for elements that may be affected
by the proposed action.
The following elements of the human environment were considered but determined to be either not
present or unaffected by the proposed action and will therefore not be addressed further in this analysis.
This project location does not occur within a designated Area of Cri",2026-05-19T21:23:47.762107+00:00
11850027d9edfd683a121c0243725b29,ac1da3ac620613c9a1775fe9fcddbf44,EA,Decarbonization,Geothermal,keyword_run,38,60,7809,"6 TG 12S, while technically outside the Ogden survey area, is less than 0.15 miles south ofFS road 2215
which forms the southern boundary of
the Ogden area. The area south of2215 was determined by USPS to
not contain suitable habitat and therefore did not warrant surveys.
Two northern goshawk nest sites with a total of
three nests were detected as a result of
these surveys. In addition, while ther",2026-05-19T21:23:47.762107+00:00
82c821f93ec2a89684fdb9a42afc7027,cc40a98c57fc048c7b690ac7c776fb04,EIS,Decarbonization,Nuclear,heading_anchored,41,42,645,"Same as Table S–1, INL VTR Alternative:
There would be minimal impacts on aesthetics as newly constructed facilities
would not dominate the local landscape and would be similar in design to
existing facilities.
Same as Table S–1, INL VTR Alternative:
There would be minimal impacts on aesthetics from operation of the
newly constructed facilities that would be similar in design to
existing facilitie",2026-05-19T21:23:47.762107+00:00
58cb6e7c25b4d040ff4fa393abd55c0d,46c2d03b29fd7b6d27131cd09822f0b9,EIS,Decarbonization,Solar,heading_anchored,384,386,921,"1998 Las Vegas Resource Management Plan
The 1998 Las Vegas RMP identifies the BLM’s original VRM classes and objectives for the planning
area. The RMP includes four regionally-specific management policies (VS-1-a, VS-1-b, VS-1-c, and VS-
1-d) to achieve one primary VRM objective (VS-1): “Limit future impacts on the visual and aesthetic
character of the public lands” (BLM 1998). These policies dire",2026-05-19T21:23:47.762107+00:00
716775fbda88575a449aa6670830d261,0367faf931d12e6b25529122b2a00b20,EIS,Decarbonization,Solar,keyword_run,79,102,4681,"SECTION 5.0
The assessment of archaeological sensitivity considers the presence of environmental correlates
within the APE identified in regional settlement models in order to identify locations likely to
contain prehistoric and historic archaeological sites. In areas where no sites are documented,
the sensitivity assessment for prehistoric resources is based primarily on environmental setting:
to",2026-05-19T21:23:47.762107+00:00
fdb15f2e4267d0ded27d55f0425e2f2b,79e6458f7d68784fccf54db12acb3b54,EIS,Decarbonization,Geothermal,keyword_run,30,49,4126,"Manage the Bald Mountain area (see Map SV-2) for intensive ski development.
Allow additional development that is in accordance with a master plan ap­
proved by BLM and the U.S. Forest Service in accordance with the Memorandum
of Understanding for the Management of the Bald Mountain Winter Sports
Area.
tc.
Bald Mountain is presently developed as one of the West's best ski areas.
It is one of the ma",2026-05-19T21:23:47.762107+00:00
4621534a63100676ad42eb05ba725847,f3c1b78a4e697da73782817ff905a583,EA,Fossil Fuel,Land-based Oil & Gas,heading_anchored,49,52,224,"NPR-3 is typical of much of the central portion of Wyoming. It consists of rolling terrain
covered with native grass and sagebrush, and is fragmented by numerous small gullies. NPR-3
is surrounded by a rim of sandstone bluffs. Although portions of NPR-3 operations are visible
from the north along Wyoming Route 259, bluffs to the south, east and west generally isolate
NPR-3 visually from the public",2026-05-19T21:23:47.762107+00:00
e44de828ee063e7876192225cb7bd799,cfd793b2e13f8701cc685872c2ed6845,EA,Fossil Fuel,Coal,heading_anchored,49,53,1136,"Affected Environment
The affected environment for visual resources includes the current view of the proposed Project
site, an existing power plant along an interstate highway and the immediate surrounding area.
The testing facility would be an addition to the power plant site and therefore is in character with
the existing viewshed. Based on consultation with the Illinois State Historic Preservati",2026-05-19T21:23:47.762107+00:00
